화재발생년월일,시도,시군구,화재유형,발화열원대분류,발화열원소분류,발화요인대분류,발화요인소분류,최초착화물대분류,최초착화물소분류,인명피해(명)소계,사망,부상,재산피해소계,장소대분류,장소중분류,장소소분류
2020-01-01 16:50,부산광역시,동래구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,0,0,0,194,생활서비스,음식점,한식
2020-01-01 17:04,경기도,구리시,기타(쓰레기 화재등),작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전자기기 부속품,0,0,0,11,기타,야외,기타야외
2020-01-01 17:26,경기도,부천시,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",기계적 요인,자동제어 실패,기타,기타,0,0,0,260305,산업시설,공장시설,그 밖의 공업
2020-01-01 17:35,경기도,양평군,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,0,0,0,123,기타,야외,쓰레기
2020-01-01 17:39,경기도,화성시,"건축,구조물",미상,미상,미상,미상,미상,미상,1,0,1,73715,산업시설,공장시설,방직공업
2020-01-01 17:45,경상북도,영주시,"건축,구조물",미상,미상,미상,미상,미상,미상,0,0,0,319,기타서비스,기타건축물,기타 건축물
2020-01-01 17:49,경상북도,울진군,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",화학적 요인,화학적 발화(유증기 확산),"침구,직물류",의류,0,0,0,1279,주거,공동주택,다세대주택
2020-01-01 17:55,경상북도,포항시남구,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,미상,미상,0,0,0,338,주거,공동주택,연립주택
2020-01-01 18:08,경기도,화성시,기타(쓰레기 화재등),"불꽃, 불티","기타(불꽃,불티)",부주의,불장난,기타,기타,0,0,0,418,기타,야외,공터
2020-01-01 18:30,서울특별시,중구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,0,0,0,322,생활서비스,일상서비스,기타 일상서비스
2020-01-01 18:37,전라북도,남원시,"건축,구조물","불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,8873,주거,기타주택,기타 주택
2020-01-01 18:47,인천광역시,미추홀구,기타(쓰레기 화재등),미상,미상,미상,미상,미상,미상,0,0,0,300,기타,야외,기타야외
2020-01-01 18:53,광주광역시,북구,"자동차,철도차량",작동기기,"기기 전도,복사열,기기발열",부주의,가연물 근접방치,"종이,목재,건초등",종이,0,0,0,385,"자동차,철도차량",자동차,오토바이
2020-01-01 19:12,경기도,광주시,"건축,구조물",미상,미상,미상,미상,미상,미상,0,0,0,5151,산업시설,창고시설,기타 창고
2020-01-01 19:13,경상남도,창원시 진해구,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,음식물 조리중,식품,튀김유,0,0,0,2957,생활서비스,음식점,한식
2020-01-01 19:46,경기도,화성시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,0,0,0,8231,기타서비스,기타건축물,기타 건축물
2020-01-01 19:55,경상북도,영천시,"건축,구조물",미상,미상,미상,미상,미상,미상,0,0,0,2900,산업시설,공장시설,그 밖의 공업
2020-01-01 19:55,경기도,과천시,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",부주의,음식물 조리중,기타,기타,0,0,0,275,주거,공동주택,아파트
2020-01-01 20:15,전라북도,군산시,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",기계적 요인,"과열, 과부하",합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,231,주거,공동주택,아파트
2020-01-01 20:18,경상북도,포항시북구,"자동차,철도차량",미상,미상,기계적 요인,"과열, 과부하","자동차,철도차량,선박,항공기","기타(자동차,철도차량,선박,항공기)",0,0,0,5137,"자동차,철도차량",자동차,승용자동차
2020-01-01 20:24,대구광역시,중구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자","콘센트, 스위치류",0,0,0,2985,"판매,업무시설",판매시설,백화점
2020-01-01 20:37,서울특별시,동작구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,음식물 조리중,식품,음식물,0,0,0,11,"판매,업무시설",일반업무,오피스텔
2020-01-01 21:29,경기도,안양시동안구,"건축,구조물",작동기기,"불꽃, 스파크, 정전기",기계적 요인,"과열, 과부하","전기,전자",전선피복,0,0,0,46,기타서비스,기타건축물,공중화장실
2020-01-01 21:51,경상남도,김해시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,반단선,"전기,전자",전선피복,0,0,0,293,산업시설,공장시설,그 밖의 공업
2020-01-01 21:56,경기도,광명시,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,음식물 조리중,식품,음식물,0,0,0,55,주거,공동주택,다세대주택
2020-01-01 22:07,전라북도,완주군,"건축,구조물",미상,미상,미상,미상,미상,미상,0,0,0,1205,기타서비스,기타건축물,기타 건축물
2020-01-01 22:17,인천광역시,계양구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,0,0,0,7806,주거,단독주택,기타 단독주택
2020-01-01 22:46,경상북도,청도군,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",부주의,음식물 조리중,가구,기타(가구),0,0,0,54,생활서비스,음식점,기타휴게음식점
2020-01-01 23:12,부산광역시,부산진구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,빨래삶기,"침구,직물류","행주, 기름걸레",0,0,0,0,주거,공동주택,다세대주택
2020-01-01 23:26,경기도,김포시,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",기계적 요인,"과열, 과부하","전기,전자",전선피복,0,0,0,46539,산업시설,공장시설,인쇄업
2020-01-01 23:30,부산광역시,사상구,기타(쓰레기 화재등),"담뱃불, 라이터불","라이터불, 성냥불",방화,방화,쓰레기류,쓰레기,0,0,0,0,기타,야외,기타야외
2020-01-01 23:35,서울특별시,강서구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,"압착,손상에 의한 단락",가구,"테이블, 의자",0,0,0,330,"판매,업무시설",판매시설,시장
2020-01-01 23:41,대구광역시,북구,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,0,0,0,96,기타,야외,쓰레기
2020-01-01 23:59,경기도,고양시일산동구,"자동차,철도차량","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",종이,0,0,0,3520,"자동차,철도차량",자동차,화물자동차
2020-01-02 01:09,경상남도,거제시,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,음식물 조리중,식품,음식물,0,0,0,5,주거,공동주택,아파트
2020-01-02 01:24,광주광역시,동구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,17882,"판매,업무시설",일반업무,기타 일반업무시설
2020-01-02 01:33,인천광역시,미추홀구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",기계적 요인,"과열, 과부하","침구,직물류","이불(베개,시트)",0,0,0,9308,주거,단독주택,단독주택
2020-01-02 01:33,울산광역시,울주군,"건축,구조물",미상,미상,미상,미상,미상,미상,0,0,0,3888,주거,단독주택,단독주택
2020-01-02 01:40,전라남도,나주시,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,"불씨,불꽃,화원방치","종이,목재,건초등","목재, 합판",0,0,0,7465,산업시설,창고시설,"창고, 물품저장소"
2020-01-02 02:56,충청남도,공주시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,0,0,0,9164,주거,단독주택,단독주택
2020-01-02 03:20,인천광역시,서구,"건축,구조물",미상,미상,미상,미상,기타,기타,3,2,1,27173,주거,공동주택,아파트
2020-01-02 03:35,대전광역시,서구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,음식물 조리중,식품,음식물,0,0,0,121,주거,단독주택,다가구주택
2020-01-02 03:40,경상남도,김해시,"자동차,철도차량","마찰, 전도, 복사","마찰열,마찰 스파크",기계적 요인,"과열, 과부하",합성수지,합성고무(타이어),0,0,0,1320,"자동차,철도차량",자동차,화물자동차
2020-01-02 03:50,충청북도,영동군,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,1,1,0,4250,주거,단독주택,단독주택
2020-01-02 04:07,서울특별시,양천구,"건축,구조물",작동기기,기타(작동기기),부주의,기타(부주의),"침구,직물류","기타(침구,직물류)",0,0,0,209,주거,공동주택,연립주택
2020-01-02 04:10,경기도,하남시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,0,0,0,95751,산업시설,동식물시설,농예용 온실
2020-01-02 04:50,전라북도,김제시,"건축,구조물",작동기기,기타(작동기기),전기적 요인,과부하/과전류,"전기,전자",전선피복,0,0,0,19189,산업시설,동식물시설,돈사
2020-01-02 04:54,경기도,수원시권선구,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",종이,0,0,0,2420,주거,단독주택,다가구주택
2020-01-02 05:02,경기도,화성시,"건축,구조물",기타,기타,화학적 요인,자연발화,기타,기타,0,0,0,11345,산업시설,위생시설,분뇨시설
2020-01-02 05:09,충청북도,괴산군,"건축,구조물",미상,미상,미상,미상,"침구,직물류",부직포,0,0,0,49835,산업시설,동식물시설,농장
2020-01-02 05:51,경기도,여주시,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎",0,0,0,2157,기타서비스,기타건축물,기타 건축물
2020-01-02 06:29,서울특별시,종로구,"건축,구조물",작동기기,전기적 아크(단락),기타,기타,합성수지,"플라스틱, PVC, 비닐, 장판",1,0,1,281,교육시설,"연구,학원","기타 연구,학원"
2020-01-02 06:48,경기도,안산시단원구,"자동차,철도차량","마찰, 전도, 복사","화염 전도,복사열",교통사고,교통사고,"자동차,철도차량,선박,항공기","기타(자동차,철도차량,선박,항공기)",0,0,0,3960,"자동차,철도차량",자동차,승용자동차
2020-01-02 07:06,경기도,양주시,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",부주의,기타(부주의),합성수지,"플라스틱, PVC, 비닐, 장판",1,0,1,4411,주거,단독주택,기타 단독주택
2020-01-02 07:14,대구광역시,서구,"건축,구조물","마찰, 전도, 복사","마찰열,마찰 스파크",기계적 요인,"과열, 과부하",쓰레기류,분진,0,0,0,528,산업시설,공장시설,방직공업
2020-01-02 07:27,전라북도,순창군,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,기타(부주의),합성수지,발포폴리스티렌,0,0,0,18833,주거,단독주택,단독주택
2020-01-02 07:43,전라북도,김제시,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,가연물 근접방치,"종이,목재,건초등",톱밥,0,0,0,301,산업시설,동식물시설,우사
2020-01-02 08:17,충청남도,태안군,"자동차,철도차량",작동기기,"기기 전도,복사열,기기발열",기계적 요인,노후,"자동차,철도차량,선박,항공기",오일류,0,0,0,1375,"자동차,철도차량",자동차,화물자동차
