연번,사망,부상,인명피해(명)소계,재산피해소계,화재발생년월일,시도,시군구,읍면동,화재유형,발화열원,발화열원소분류,발화요인대분류,발화요인소분류,최초착화물대분류,최초착화물소분류,장소대분류,장소중분류,장소소분류
11,0,0,0,898,2017-01-01 01:39,경기도,남양주시,진건읍,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,기타(부주의),"종이,목재,건초등",종이,기타서비스,기타건축물,기타 건축물
12,0,0,0,4281,2017-01-01 01:42,제주특별자치도,제주시,회천동,"건축,구조물",미상,미상,미상,미상,"종이,목재,건초등","풀, 나뭇잎",산업시설,동식물시설,농예용 온실
13,0,0,0,1979,2017-01-01 02:04,강원도,영월군,수주면,"건축,구조물",작동기기,"기기 전도,복사열",부주의,가연물 근접방치,합성수지,"플라스틱, PVC, 비닐, 장판",주거,기타주택,컨테이너(주거용)
14,0,0,0,495,2017-01-01 02:19,경기도,이천시,모가면,"자동차,철도차량","마찰, 전도, 복사","마찰열,마찰 스파크",기계적 요인,"과열, 과부하","자동차,철도차량,선박,항공기",타이어,"자동차,철도차량",자동차,화물자동차
15,0,0,0,0,2017-01-01 02:26,부산광역시,수영구,민락동,"건축,구조물",작동기기,"기기 전도,복사열",부주의,음식물 조리중,식품,음식물,생활서비스,일상서비스,일반상점
16,0,0,0,32750,2017-01-01 02:39,경기도,시흥시,정왕동,"건축,구조물",작동기기,"불꽃, 스파크, 정전기",전기적 요인,기타(전기적요인),쓰레기류,분진,산업시설,공장시설,금속기계 및 기구공업
17,0,0,0,22,2017-01-01 02:44,인천광역시,부평구,부평동,기타(쓰레기 화재등),작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,기타,야외,기타야외
18,0,0,0,3300,2017-01-01 02:46,충청남도,홍성군,은하면,"자동차,철도차량","마찰, 전도, 복사","마찰열,마찰 스파크",교통사고,교통사고,"전기,전자",전선피복,"자동차,철도차량",자동차,승용자동차
19,0,0,0,135,2017-01-01 03:06,경기도,안산시단원구,대부북동,기타(쓰레기 화재등),작동기기,전기적 아크(단락),전기적 요인,"누전,지락",합성수지,"플라스틱, PVC, 비닐, 장판",기타,도로,전봇대
20,0,0,0,971,2017-01-01 03:32,서울특별시,마포구,동교동,"건축,구조물",미상,미상,미상,미상,미상,미상,주거,단독주택,단독주택
21,0,0,0,3669,2017-01-01 03:42,서울특별시,강서구,가양동,"건축,구조물","불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","목재, 합판",주거,공동주택,기타 공동주택
22,0,0,0,2329,2017-01-01 04:10,경상남도,창원시 마산합포구,월영동,"건축,구조물",작동기기,"기기 전도,복사열",부주의,가연물 근접방치,합성수지,"플라스틱, PVC, 비닐, 장판",주거,공동주택,아파트
23,0,0,0,1527,2017-01-01 05:40,경상북도,예천군,용궁면,"건축,구조물",작동기기,"기기 전도,복사열",기계적 요인,"과열, 과부하",합성수지,"플라스틱, PVC, 비닐, 장판",산업시설,동식물시설,버섯재배사
24,0,0,0,721,2017-01-01 05:54,부산광역시,북구,구포동,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,기타,기타,생활서비스,음식점,한식
25,0,0,0,46696,2017-01-01 06:26,경상북도,봉화군,봉화읍,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,"압착,손상에 의한 단락","전기,전자",전선피복,산업시설,동식물시설,돈사
26,0,0,0,3702,2017-01-01 06:44,인천광역시,남구,용현동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,생활서비스,일상서비스,일반상점
27,0,0,0,3762,2017-01-01 07:22,경상남도,함안군,여항면,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,주거,기타주택,컨테이너(주거용)
28,0,0,0,0,2017-01-01 07:46,강원도,강릉시,교동,기타(쓰레기 화재등),"담뱃불, 라이터불","라이터불, 성냥불",방화,방화,쓰레기류,쓰레기,기타,도로,기타도로
29,0,0,0,100,2017-01-01 08:16,전라북도,전주시덕진구,호성동2가,"건축,구조물","불꽃, 불티","용접, 절단, 연마",부주의,"용접, 절단, 연마",합성수지,우레탄,운수자동차시설,자동차시설,기타 자동차시설
30,0,0,0,100,2017-01-01 08:38,전라북도,전주시덕진구,송천동2가,기타(쓰레기 화재등),"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,"종이,목재,건초등",톱밥,기타,야외,쓰레기
31,0,0,0,4674,2017-01-01 09:07,경기도,수원시권선구,평동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,기타(전기적요인),가연성가스,기타(가연성가스),운수자동차시설,자동차시설,"자동차검사장, 매매장, 부속상, 정비공장"
32,0,0,0,2125,2017-01-01 09:18,대구광역시,서구,비산동,"건축,구조물",작동기기,"기기 전도,복사열",기계적 요인,"과열, 과부하",쓰레기류,기타 쓰레기,산업시설,공장시설,그 밖의 공업
33,0,0,0,2253,2017-01-01 09:18,경기도,파주시,금촌동,"건축,구조물",작동기기,"기기 전도,복사열",부주의,기타(부주의),"침구,직물류",의류,"판매,업무시설",일반업무,일반빌딩
34,0,0,0,5656,2017-01-01 09:51,광주광역시,북구,신용동,"건축,구조물","마찰, 전도, 복사","기타(마찰,전도,복사)",기계적 요인,"과열, 과부하",기타,기타,운수자동차시설,자동차시설,주차장
35,0,0,0,5232,2017-01-01 09:57,인천광역시,계양구,평동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,산업시설,창고시설,"냉장, 냉동창고"
36,0,0,0,9050,2017-01-01 10:36,대구광역시,북구,침산동,"건축,구조물","담뱃불, 라이터불",촛불,부주의,"불씨,불꽃,화원방치","종이,목재,건초등",종이,주거,공동주택,다세대주택
37,0,0,0,3597,2017-01-01 10:40,충청남도,아산시,영인면,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,가연물 근접방치,"종이,목재,건초등","기타(종이,목재,건초등)",생활서비스,음식점,한식
38,0,0,0,70,2017-01-01 11:26,대구광역시,달성군,다사읍,"건축,구조물",미상,미상,미상,미상,미상,미상,주거,공동주택,아파트
39,0,0,0,270,2017-01-01 11:40,충청남도,예산군,덕산면,기타(쓰레기 화재등),작동기기,"기기 전도,복사열",부주의,"불씨,불꽃,화원방치",합성수지,"플라스틱, PVC, 비닐, 장판",기타,야외,야적장
40,0,0,0,217,2017-01-01 12:01,부산광역시,금정구,청룡동,"자동차,철도차량",작동기기,"기기 전도,복사열",기계적 요인,"오일,연료누설",위험물등,기계유,"자동차,철도차량",자동차,승용자동차
41,0,0,0,8008,2017-01-01 12:25,충청북도,음성군,생극면,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,"압착,손상에 의한 단락","종이,목재,건초등",종이,산업시설,공장시설,금속기계 및 기구공업
42,0,0,0,15,2017-01-01 12:30,전라북도,전주시완산구,평화동2가,"건축,구조물",작동기기,"기기 전도,복사열",부주의,음식물 조리중,식품,음식물,주거,공동주택,아파트
43,0,0,0,313,2017-01-01 12:32,경상북도,경주시,건천읍,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",건초,기타서비스,기타건축물,기타 건축물
44,0,0,0,53,2017-01-01 12:40,부산광역시,중구,부평동1가,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,과부하/과전류,"전기,전자","콘센트, 스위치류","판매,업무시설",판매시설,시장
45,0,0,0,374,2017-01-01 12:43,서울특별시,강동구,성내동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,"전기,전자","전기, 전자기기 기판",주거,공동주택,아파트
46,0,0,0,0,2017-01-01 12:57,서울특별시,강북구,우이동,기타(쓰레기 화재등),"불꽃, 불티",굴뚝(연통) 아궁이,기계적 요인,정비불량,"종이,목재,건초등","풀, 나뭇잎",기타,야외,기타야외
47,0,0,0,73,2017-01-01 12:57,전라남도,목포시,산정동,"건축,구조물",작동기기,"기기 전도,복사열",부주의,음식물 조리중,식품,음식물,"판매,업무시설",일반업무,오피스텔
48,0,0,0,936,2017-01-01 12:59,충청남도,공주시,반포면,"건축,구조물","불꽃, 불티","쓰레기, 논밭두렁",부주의,가연물 근접방치,"종이,목재,건초등",종이,주거,단독주택,단독주택
49,0,0,0,62,2017-01-01 13:09,경상북도,경주시,구황동,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",기타,야외,기타야외
50,0,0,0,37598,2017-01-01 13:15,충청남도,서천군,기산면,"건축,구조물","담뱃불, 라이터불","라이터불, 성냥불",부주의,유류 취급중,위험물등,등유,생활서비스,일상서비스,일반상점
51,0,0,0,33,2017-01-01 13:41,전라남도,화순군,도곡면,임야,"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,"종이,목재,건초등","풀, 나뭇잎",임야,산불,사유림
52,0,0,0,30,2017-01-01 14:00,서울특별시,양천구,목동,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"침구,직물류","기타(침구,직물류)",주거,공동주택,아파트
53,0,0,0,30,2017-01-01 14:17,인천광역시,중구,운서동,"건축,구조물",작동기기,"기기 전도,복사열",부주의,음식물 조리중,식품,음식물,주거,공동주택,아파트
54,0,0,0,95,2017-01-01 14:26,강원도,홍천군,남면,"건축,구조물","불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치",합성수지,스티로폼,주거,단독주택,단독주택
55,0,0,0,13410,2017-01-01 14:30,광주광역시,북구,용봉동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,"전기,전자","전기, 전자기기 기판","판매,업무시설",판매시설,기타 판매시설
56,0,0,0,14837,2017-01-01 14:36,충청북도,진천군,진천읍,"건축,구조물",미상,미상,미상,미상,쓰레기류,쓰레기,생활서비스,음식점,기타 음식점
57,0,0,0,2200,2017-01-01 14:47,서울특별시,강서구,외발산동,"자동차,철도차량",작동기기,기타(작동기기),기계적 요인,노후,위험물등,기타(위험물등),"자동차,철도차량",자동차,승용자동차
58,0,0,0,50,2017-01-01 15:58,서울특별시,서초구,잠원동,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,음식물 조리중,식품,음식물,주거,단독주택,단독주택
59,0,0,0,51182,2017-01-01 16:14,강원도,홍천군,두촌면,"건축,구조물",미상,미상,미상,미상,미상,미상,주거,단독주택,단독주택
60,0,0,0,715,2017-01-01 16:17,서울특별시,송파구,잠실동,"자동차,철도차량",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,"자동차,철도차량",자동차,승용자동차
61,0,0,0,220,2017-01-01 16:20,부산광역시,북구,덕천동,기타(쓰레기 화재등),미상,미상,방화의심,방화의심,"종이,목재,건초등","풀, 나뭇잎",기타,야외,공터
62,0,0,0,620,2017-01-01 16:33,강원도,평창군,대관령면,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,합성수지,"플라스틱, PVC, 비닐, 장판",산업시설,동식물시설,기타 동식물시설
63,0,0,0,1320,2017-01-01 16:33,전라남도,화순군,이양면,"자동차,철도차량",작동기기,"기기 전도,복사열",기계적 요인,노후,"자동차,철도차량,선박,항공기","경유(자동차,철도)","자동차,철도차량",자동차,버스
64,0,0,0,22,2017-01-01 16:34,부산광역시,북구,화명동,임야,미상,미상,방화의심,방화의심,"종이,목재,건초등","풀, 나뭇잎",임야,산불,사유림
65,0,1,1,28551,2017-01-01 16:46,경기도,과천시,갈현동,"건축,구조물",미상,미상,미상,미상,미상,미상,기타서비스,기타건축물,기타 건축물
66,0,0,0,2970,2017-01-01 16:48,경기도,수원시장안구,정자동,"자동차,철도차량",작동기기,전기적 아크(단락),전기적 요인,"압착,손상에 의한 단락","자동차,철도차량,선박,항공기",전기배선,"자동차,철도차량",자동차,승용자동차
67,0,0,0,107,2017-01-01 16:49,서울특별시,송파구,문정동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,"전기,전자","콘센트, 스위치류",생활서비스,일상서비스,고시원(원룸텔)
68,0,0,0,124,2017-01-01 17:35,서울특별시,관악구,신림동,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,음식물 조리중,식품,음식물,주거,단독주택,다가구주택
69,0,0,0,203,2017-01-01 17:39,광주광역시,광산구,장덕동,"건축,구조물",화학적 발화열,화학반응열,화학적 요인,자연발화,"종이,목재,건초등",톱밥,산업시설,공장시설,제재 및 목공업
70,0,0,0,30,2017-01-01 17:40,대구광역시,남구,대명동,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,음식물 조리중,식품,튀김유,생활서비스,음식점,기타 음식점
71,0,0,0,385,2017-01-01 17:51,경기도,이천시,부발읍,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자","콘센트, 스위치류",산업시설,동식물시설,농예용 온실
72,0,0,0,425,2017-01-01 17:57,경상남도,창원시 마산합포구,해운동,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",부주의,음식물 조리중,기타,기타,생활서비스,음식점,일반주점
73,0,0,0,76,2017-01-01 18:00,충청남도,공주시,우성면,"건축,구조물","불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치","종이,목재,건초등",나무,주거,단독주택,단독주택
74,0,0,0,3983,2017-01-01 18:08,경기도,수원시영통구,영통동,기타(쓰레기 화재등),작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,"전기,전자",전선피복,기타,야외,기타야외
75,0,0,0,0,2017-01-01 18:19,대구광역시,서구,이현동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,집합시설,운동시설,기타 운동시설
76,0,0,0,4757,2017-01-01 19:07,경기도,부천시,내동,"건축,구조물","마찰, 전도, 복사","마찰열,마찰 스파크",기계적 요인,자동제어 실패,위험물등,기계유,산업시설,공장시설,금속기계 및 기구공업
77,0,0,0,13064,2017-01-01 19:24,대구광역시,동구,도동,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,유류 취급중,위험물등,등유,주거,단독주택,단독주택
78,0,0,0,495,2017-01-01 19:39,제주특별자치도,제주시,이도이동,"건축,구조물",미상,미상,미상,미상,"종이,목재,건초등",종이,주거,공동주택,아파트
79,0,0,0,3033,2017-01-01 19:46,전라남도,장성군,황룡면,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,가연물 근접방치,"종이,목재,건초등","기타(종이,목재,건초등)",주거,단독주택,단독주택
80,0,0,0,4118,2017-01-01 19:46,인천광역시,남동구,간석동,"건축,구조물","담뱃불, 라이터불","라이터불, 성냥불",방화,방화,위험물등,등유,생활서비스,음식점,한식
81,0,0,0,18,2017-01-01 19:56,경기도,광명시,소하동,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,빨래삶기,"침구,직물류","행주, 기름걸레",주거,공동주택,아파트
82,0,0,0,5445,2017-01-01 20:01,충청남도,공주시,태봉동,"자동차,철도차량","마찰, 전도, 복사","마찰열,마찰 스파크",교통사고,교통사고,"자동차,철도차량,선박,항공기",오일류,"자동차,철도차량",자동차,승용자동차
83,0,0,0,539,2017-01-01 20:04,전라남도,강진군,작천면,기타(쓰레기 화재등),"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,"종이,목재,건초등","풀, 나뭇잎",기타,야외,볏짚
84,0,0,0,332,2017-01-01 20:07,대구광역시,북구,산격동,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,기타,야외,쓰레기
85,0,0,0,4,2017-01-01 20:20,경기도,김포시,구래동,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,합성수지,"플라스틱, PVC, 비닐, 장판",기타,야외,기타야외
86,0,0,0,97,2017-01-01 20:23,부산광역시,동구,범일동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,"전기,전자","콘센트, 스위치류",생활서비스,일상서비스,고시원(원룸텔)
87,0,0,0,315,2017-01-01 20:44,서울특별시,강동구,천호동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,기타(전기적요인),"전기,전자","기타(전기,전자)",주거,단독주택,다가구주택
88,0,0,0,1072,2017-01-01 20:53,경상북도,경산시,대동,"자동차,철도차량",작동기기,기타(작동기기),기계적 요인,정비불량,"자동차,철도차량,선박,항공기",오일류,"자동차,철도차량",자동차,승용자동차
89,0,0,0,4454,2017-01-01 21:08,충청남도,천안시서북구,입장면,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",종이,생활서비스,일상서비스,"수리,A/S,상하수도"
90,0,1,1,42,2017-01-01 21:21,대구광역시,남구,대명동,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,주거,단독주택,단독주택
91,0,0,0,199,2017-01-01 21:44,경상남도,통영시,무전동,"건축,구조물",작동기기,"불꽃, 스파크, 정전기",가스누출(폭발),가스누출(폭발),가연성가스,부탄가스,생활서비스,위락시설,유흥주점
92,0,0,0,0,2017-01-01 21:47,부산광역시,중구,부평동4가,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자","전기, 전자기기 기판",생활서비스,일상서비스,기타 일상서비스
93,0,0,0,110,2017-01-01 21:48,울산광역시,울주군,범서읍,"자동차,철도차량",작동기기,"기기 전도,복사열",기계적 요인,기타(기계적요인),"자동차,철도차량,선박,항공기",좌석시트,"자동차,철도차량",자동차,승용자동차
94,0,0,0,364,2017-01-01 22:10,경기도,하남시,망월동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,과부하/과전류,"전기,전자",전자기기 부속품,주거,공동주택,아파트
95,0,0,0,48,2017-01-01 22:45,부산광역시,동구,수정동,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",종이,기타,야외,쓰레기
96,0,0,0,210,2017-01-01 23:02,경기도,김포시,월곶면,기타(쓰레기 화재등),작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,"전기,전자","전기, 전자기기 기판",기타,야외,기타야외
97,0,0,0,8308,2017-01-01 23:03,경상북도,영주시,조와동,"건축,구조물",작동기기,"불꽃, 스파크, 정전기",전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,기타서비스,기타건축물,기타 건축물
98,0,0,0,30,2017-01-01 23:05,부산광역시,동래구,온천동,"건축,구조물",작동기기,"기기 전도,복사열",부주의,음식물 조리중,식품,음식물,"판매,업무시설",숙박시설,여관
99,0,0,0,3008,2017-01-01 23:11,경기도,남양주시,진건읍,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,산업시설,작업장,기타 작업장
100,0,0,0,330,2017-01-01 23:18,전라남도,고흥군,도양읍,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,주거,단독주택,단독주택
101,0,0,0,128,2017-01-02 00:07,서울특별시,서대문구,연희동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,기타(전기적요인),"전기,전자",전선피복,주거,단독주택,다가구주택
102,0,0,0,8188,2017-01-02 00:12,서울특별시,은평구,불광동,"건축,구조물",미상,미상,전기적 요인,접촉불량에 의한 단락,"종이,목재,건초등",종이,주거,공동주택,다세대주택
103,0,0,0,103,2017-01-02 00:21,울산광역시,남구,무거동,"건축,구조물",작동기기,"기기 전도,복사열",부주의,음식물 조리중,식품,음식물,생활서비스,음식점,한식
104,0,0,0,7671,2017-01-02 00:39,경기도,화성시,팔탄면,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,"전기,전자",전선피복,기타서비스,기타건축물,기타 건축물
105,0,0,0,330,2017-01-02 00:53,서울특별시,마포구,마포동,"자동차,철도차량",기타,기타,기타,기타,"자동차,철도차량,선박,항공기","기타(자동차,철도차량,선박,항공기)","자동차,철도차량",자동차,승용자동차
106,0,0,0,135,2017-01-02 01:02,전라남도,목포시,상동,기타(쓰레기 화재등),"담뱃불, 라이터불","라이터불, 성냥불",방화,방화,합성수지,"플라스틱, PVC, 비닐, 장판",기타,야외,기타야외
107,0,0,0,181,2017-01-02 01:24,경기도,평택시,평택동,"건축,구조물","불꽃, 불티","모닥불, 연탄, 숯",부주의,음식물 조리중,합성수지,기타(합성수지),생활서비스,음식점,한식
108,0,0,0,115,2017-01-02 02:18,경기도,화성시,능동,기타(쓰레기 화재등),"불꽃, 불티","기타(불꽃,불티)",방화의심,방화의심,기타,기타,기타,야외,기타야외
109,0,0,0,122618,2017-01-02 02:37,인천광역시,서구,오류동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,주거,공동주택,기숙사
110,0,0,0,473,2017-01-02 02:53,전라남도,완도군,완도읍,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,생활서비스,음식점,한식
111,0,1,1,180,2017-01-02 03:12,경상북도,예천군,예천읍,"건축,구조물","담뱃불, 라이터불","라이터불, 성냥불",부주의,기타(부주의),위험물등,가솔린,주거,단독주택,단독주택
112,0,0,0,2200,2017-01-02 03:38,경기도,고양시덕양구,주교동,"자동차,철도차량",작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,"전기,전자",전선피복,"자동차,철도차량",자동차,특수자동차
113,0,0,0,953,2017-01-02 04:03,전라북도,전주시덕진구,송천동1가,"건축,구조물",작동기기,"기기 전도,복사열",기계적 요인,"과열, 과부하","종이,목재,건초등","목재, 합판",집합시설,종교시설,성당
114,0,0,0,6534,2017-01-02 04:08,서울특별시,강남구,역삼동,"자동차,철도차량",작동기기,전기적 아크(단락),교통사고,교통사고,"전기,전자",전선피복,"자동차,철도차량",자동차,승용자동차
115,0,0,0,1170,2017-01-02 04:21,경기도,수원시장안구,정자동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,집합시설,종교시설,교회
116,0,0,0,6600,2017-01-02 04:43,전라남도,해남군,옥천면,"자동차,철도차량",작동기기,"불꽃, 스파크, 정전기",교통사고,교통사고,"자동차,철도차량,선박,항공기",오일류,"자동차,철도차량",자동차,승용자동차
117,0,0,0,87678,2017-01-02 05:00,전라북도,임실군,덕치면,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,"전기,전자","콘센트, 스위치류",산업시설,동식물시설,계사
118,0,0,0,11464,2017-01-02 05:14,인천광역시,서구,석남동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,생활서비스,음식점,한식
119,1,0,1,11605,2017-01-02 05:39,충청남도,서천군,판교면,"건축,구조물",미상,미상,미상,미상,"종이,목재,건초등","목재, 합판",주거,단독주택,단독주택
120,0,0,0,9198,2017-01-02 06:21,경기도,화성시,매송면,기타(쓰레기 화재등),작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,기타,야외,기타야외
121,0,0,0,199,2017-01-02 06:27,경기도,광주시,태전동,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",종이,기타,야외,쓰레기
122,0,0,0,3373,2017-01-02 06:44,대전광역시,동구,신흥동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,"전기,전자",전자기기 부속품,주거,공동주택,아파트
123,0,0,0,20,2017-01-02 07:26,전라북도,익산시,팔봉동,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",종이,주거,공동주택,아파트
124,0,0,0,78920,2017-01-02 07:40,경기도,광주시,남한산성면,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,산업시설,창고시설,"창고, 물품저장소"
125,0,0,0,66000,2017-01-02 08:22,경상북도,봉화군,석포면,"자동차,철도차량",작동기기,전기적 아크(단락),교통사고,교통사고,"자동차,철도차량,선박,항공기",전기배선,"자동차,철도차량",자동차,화물자동차
126,0,0,0,1925,2017-01-02 08:52,경상남도,진주시,지수면,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","기타(종이,목재,건초등)",산업시설,창고시설,기타 창고
127,0,0,0,11000,2017-01-02 08:57,경상남도,창원시 의창구,대산면,"자동차,철도차량",작동기기,전기적 아크(단락),전기적 요인,과부하/과전류,"전기,전자",전선피복,"자동차,철도차량",건설기계,덤프트럭
128,0,0,0,0,2017-01-02 09:09,부산광역시,강서구,대저1동,기타(쓰레기 화재등),"불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","목재, 합판",기타,야외,야적장
129,0,0,0,452,2017-01-02 09:16,전라북도,정읍시,소성면,"건축,구조물",작동기기,"기기 전도,복사열",기계적 요인,"과열, 과부하","종이,목재,건초등",종이,주거,단독주택,단독주택
130,0,0,0,49,2017-01-02 09:16,서울특별시,영등포구,대림동,"건축,구조물",기타,기타,부주의,음식물 조리중,기타,기타,주거,단독주택,다가구주택
